TYPE,PRICE,BEDROOMS,BATHROOMS,SQFT,LATITUDE,LONGITUDE,ZIPCODE,BOROUGH,SUBLOCALITY,PROPERTY_TYPE,PROPERTY_TYPE_GROUP
house,729900,3,2.0,1150,40.5302132,-74.1981906,10309,staten island,richmond county,building,residential
house,1175000,3,2.0,2250,40.57372,-73.8577786,11694,queens,queens county,building,residential
townhouse,2750000,3,2.0,2184,40.7336687,-74.000518,10014,manhattan,new york county,building,residential
condo,2000000,3,2.0,2000,40.7086444,-74.0161953,10280,manhattan,manhattan,building,residential
house,2800000,4,6.0,8333,40.5861193,-74.1075476,10304,staten island,richmond county,building,residential
house,2600000,5,4.0,3024,40.7780417,-73.7739629,11360,queens,queens county,building,residential
townhouse,3500000,6,6.0,6000,40.8229141,-73.9460622,10031,manhattan,new york county,building,residential
co-op,550000,1,1.0,2184,40.7887084,-73.9700091,10024,manhattan,upper west side,building,residential
pending,769000,3,4.0,2184,40.6291962,-74.1518654,10303,staten island,richmond county,building,residential
house,675000,3,2.0,2400,40.610206,-73.91065,11234,brooklyn,mill basin,building,residential
house,879000,4,2.0,1238,40.5273247,-74.1983282,10309,staten island,richmond county,building,residential
house,918888,3,2.0,2184,40.760703,-73.880887,11369,queens,jackson heights,building,residential
house,1730000,6,2.3738608579684373,3024,40.765022,-73.7422005,11362,queens,queens county,building,residential
multi-family home,425000,5,2.0,2184,40.8159966,-73.8881001,10474,bronx,bronx county,building,residential
house,2500000,5,2.3738608579684373,1450,40.7679673,-73.8246067,11354,queens,queens county,building,residential
house,998000,4,4.0,2000,40.515251,-74.235145,10307,staten island,richmond county,building,residential
house,1195000,4,4.0,2688,40.6296431,-74.1005274,10301,staten island,richmond county,building,residential
house,1649000,3,2.0,2052,40.6164182,-74.0142443,11228,brooklyn,kings county,building,residential
house,955000,4,4.0,2100,40.551184,-74.1840649,10312,staten island,richmond county,building,residential
multi-family home,949000,6,3.0,2184,40.677393,-73.800094,11436,queens,queens county,building,residential
house,880000,3,2.0,1743,40.7668312,-73.7911175,11358,queens,queens county,building,residential
townhouse,1250000,8,2.3738608579684373,2184,40.7600248,-73.9653546,10022,manhattan,new york county,building,residential
contingent,899999,3,2.0,1784,40.5788586,-74.11209,10306,staten island,richmond county,building,residential
condo,198000,1,1.0,750,40.7127599,-73.83433,11375,brooklyn,forest hills,amenity,other
house,549000,5,3.0,496,40.8679701,-73.836565,10469,bronx,bronx county,building,residential
house,1088888,3,4.0,1320,40.6090909,-73.9762651,11204,brooklyn,midwood,building,residential
house,888000,4,2.0,2686,40.8130775,-73.8063357,10465,bronx,throgs neck,building,residential
house,1449999,3,2.0,2184,40.7697773,-73.9014478,11105,queens,queens county,building,residential
coming soon,1695000,5,2.0,2250,40.686947,-73.9261885,11221,brooklyn,kings county,building,residential
house,2499000,5,2.3738608579684373,4100,40.7107701,-73.8406935,11375,brooklyn,forest hills,building,residential
co-op,1895000,2,2.0,2184,40.673976,-73.973535,11215,brooklyn,brooklyn,building,residential
house,689000,3,2.3738608579684373,1248,40.6137764,-74.1600305,10314,staten island,richmond county,building,residential
house,649999,3,2.0,1440,40.5803331,-74.0885167,10305,staten island,richmond county,building,residential
house,669000,3,2.0,864,40.5993523,-74.0953882,10304,staten island,richmond county,building,residential
house,800000,3,2.0,825,40.6222734,-73.924094,11234,brooklyn,flatlands,building,residential
for sale,2400000,6,6.0,6688,40.6738566,-73.9506085,11216,brooklyn,kings county,building,residential
house,390000,2,1.0,586,40.574103,-74.0931668,10306,staten island,richmond county,building,residential
house,1450000,4,2.3738608579684373,2700,40.5273093,-74.1753435,10312,staten island,richmond county,building,residential
condo,725000,2,2.0,792,40.6898164,-73.9062474,11207,brooklyn,bushwick,building,residential
co-op,269000,1,1.0,2184,40.8968048,-73.9087471,10471,bronx,the bronx,building,residential
co-op,695000,2,2.0,2184,40.7651716,-73.9678719,10065,manhattan,upper east side,building,residential
house,1300000,3,2.0,2184,40.8109146,-73.853921,10473,bronx,bronx county,building,residential
co-op,459000,3,2.0,1250,40.5866482,-73.9845156,11214,brooklyn,kings county,building,residential
house,689999,3,2.0,1008,40.621814,-74.1406264,10314,staten island,richmond county,building,residential
co-op,425000,3,2.0,1405,40.7381853,-73.8581248,11368,queens,corona,amenity,other
multi-family home,1499000,9,6.0,3519,40.583514,-73.9738903,11223,brooklyn,brighton beach,building,residential
house,519000,3,2.0,1480,40.5939378,-74.1843153,10314,manhattan,chelsea,building,residential
co-op,358000,2,1.0,2184,40.7855174,-73.7797613,11360,queens,queens,building,residential
co-op,975000,3,1.0,2184,40.7455051,-74.0016003,10011,manhattan,chelsea,amenity,other
co-op,498000,2,1.0,975,40.6351164,-74.0311609,11209,brooklyn,bay ridge,amenity,other
multi-family home,999000,6,2.0,3144,40.8451067,-73.8601577,10462,bronx,bronx county,building,residential
contingent,599000,4,4.0,2800,40.5387352,-74.1423893,10308,staten island,richmond county,building,residential
townhouse,699998,3,2.0,1548,40.5953144,-74.1628286,10314,staten island,richmond county,building,residential
co-op,1088000,5,2.0,2184,40.7186003,-73.8453488,11375,brooklyn,forest hills,building,residential
house,999000,6,2.0,1280,40.8808173,-73.8350832,10475,bronx,bronx county,building,residential
multi-family home,1188888,15,9.0,2184,40.7075546,-73.9036964,11385,queens,queens county,building,residential
co-op,265000,1,1.0,700,40.7824499,-73.7765099,11360,queens,queens,building,residential
co-op,288000,1,1.0,845,40.5894827,-73.9395372,11235,brooklyn,sheepshead bay,amenity,other
co-op,999995,3,2.0,1750,40.7640501,-73.964336,10065,manhattan,upper east side,building,residential
co-op,1495000,2,2.0,1350,40.7708195,-73.9595235,10021,manhattan,upper east side,building,residential
co-op,349000,2,1.0,2184,40.7050355,-73.8241699,11415,queens,queens,building,residential
condo,839000,3,2.0,1376,40.5905451,-73.9910402,11214,brooklyn,gravesend,building,residential
co-op,329000,1,1.0,820,40.7157399,-73.83672,11375,brooklyn,forest hills,building,residential
multi-family home,899000,6,3.0,3683,40.8796143,-73.856153,10469,bronx,bronx county,building,residential
house,615000,3,2.0,2184,40.6610456,-73.9019953,11212,brooklyn,kings county,building,residential
contingent,499000,3,2.0,1288,40.6166867,-74.1576647,10314,staten island,richmond county,building,residential
co-op,439500,3,2.0,1400,40.7047878,-73.8344551,11418,queens,queens,building,residential
co-op,299000,1,1.0,2184,40.7123992,-73.8339305,11415,queens,queens,amenity,other
