TYPE,PRICE,BEDROOMS,BATHROOMS,SQFT,LATITUDE,LONGITUDE,ZIPCODE,BOROUGH,SUBLOCALITY,PROPERTY_TYPE,PROPERTY_TYPE_GROUP
townhouse,3800000,6,4.0,3340,40.6694134,-73.9802538,11215,brooklyn,kings county,building,residential
co-op,325000,3,1.0,1200,40.590397,-73.935927,11235,brooklyn,sheepshead bay,building,residential
house,6975000,2,2.0,3050,40.7265669,-73.9967609,10012,manhattan,greenwich village,amenity,other
house,2400000,4,4.0,3424,40.6727282,-73.9497962,11216,brooklyn,kings county,building,residential
co-op,3500000,4,4.0,2700,40.7641121,-73.9862772,10019,manhattan,new york county,building,residential
house,769000,3,2.0,2184,40.7061049,-73.8263931,11415,queens,queens county,building,residential
multi-family home,1860000,6,4.0,2184,40.7832802,-73.8149701,11357,brooklyn,whitestone,building,residential
condo,1250000,2,2.0,1257,40.7561213,-73.8368085,11354,queens,flushing,building,residential
co-op,220000,1,1.0,750,40.7554479,-73.7319604,11362,queens,queens county,building,residential
multi-family home,949000,7,6.0,3733,40.8282987,-73.91272,10456,bronx,bronx county,building,residential
house,920000,5,4.0,2184,40.6502862,-73.9343518,11203,brooklyn,kings county,building,residential
contingent,699000,3,2.0,1312,40.5513508,-74.1356934,10308,staten island,richmond county,building,residential
co-op,4000000,3,2.0,2300,40.7840425,-73.9833243,10024,manhattan,upper west side,building,residential
house,649000,3,3.0,1456,40.5972983,-74.1347274,10314,staten island,richmond county,building,residential
condo,1175000,1,2.0,1070,40.7622732,-73.9767193,10019,manhattan,midtown west,building,residential
house,995000,2,2.0,800,40.603454,-73.9756682,11223,brooklyn,gravesend,building,residential
condo,1595000,3,2.0,1375,40.7361991,-73.9538716,11222,brooklyn,brooklyn,building,residential
multi-family home,2280000,6,5.0,2184,40.7603734,-73.7918178,11358,queens,queens county,building,residential
house,660000,3,2.0,2184,40.6574259,-73.8808077,11207,brooklyn,east new york,building,residential
condo,370000,3,1.0,462,40.6096365,-73.9544149,11229,brooklyn,midwood,building,residential
condo,1950000,2,2.0,1000,40.7805098,-73.9523992,10128,manhattan,upper east side,amenity,other
multi-family home,1250828,7,2.0,2184,40.7063804,-73.9009749,11385,queens,queens county,building,residential
house,1149000,4,3.0,1800,40.6644629,-73.951745,11225,brooklyn,kings county,building,residential
co-op,329999,2,1.0,950,40.8214206,-73.8759785,10473,bronx,the bronx,building,residential
co-op,390000,2,1.0,1100,40.7155654,-73.8311146,11375,queens,queens county,amenity,other
co-op,239000,1,1.0,700,40.5782536,-73.9534785,11235,brooklyn,brighton beach,building,residential
multi-family home,1188888,4,2.0,2184,40.7427492,-73.8333091,11367,queens,queens county,building,residential
condo,8900000,5,5.0,4297,40.7779612,-73.9854593,10023,manhattan,new york county,building,residential
co-op,189000,3,1.0,2184,40.7525699,-73.87724,11372,queens,jackson heights,amenity,other
house,985000,3,2.0,2184,40.7181351,-73.7934614,11432,queens,queens county,building,residential
co-op,839000,3,2.0,1120,40.8501059,-73.9387857,10033,manhattan,washington heights,building,residential
condo,1439000,4,2.0,1625,40.6972584,-73.9569997,11205,brooklyn,clinton hill,building,residential
co-op,379000,2,1.0,900,40.7282764,-73.8208847,11367,queens,queens,building,residential
co-op,3195000,4,4.0,2184,40.7617185,-73.9587133,10065,manhattan,new york county,building,residential
multi-family home,1245000,5,2.0,1800,40.7085881,-73.8934355,11385,queens,queens county,building,residential
townhouse,1995000,4,4.0,2184,40.670429,-73.9411141,11213,brooklyn,kings county,building,residential
multi-family home,365000,4,3.0,1600,40.6352888,-74.090616,10301,staten island,richmond county,building,residential
condo,950000,2,2.0,1025,40.7669131,-73.9342893,11373,queens,astoria,building,residential
house,4195000,6,6.0,2184,40.7210845,-73.9842397,10002,manhattan,new york county,building,residential
condo,209000,1,1.0,658,40.8391003,-73.8566691,10462,bronx,the bronx,building,residential
pending,1390000,5,4.0,1992,40.6302066,-73.962272,11230,brooklyn,midwood,building,residential
condo,8250000,6,6.0,3920,40.7250022,-73.9938611,10012,manhattan,new york county,building,residential
co-op,429000,2,1.0,850,40.617623,-74.038637,11209,brooklyn,fort hamilton,building,residential
house,699000,3,3.0,2835,40.6324811,-73.9306778,11234,brooklyn,flatlands,building,residential
condo,450000,1,1.0,724,40.610069,-73.9537478,11229,brooklyn,midwood,amenity,other
house,1190000,4,2.0,1500,40.5935138,-73.9556712,11229,brooklyn,sheepshead bay,building,residential
co-op,2995000,2,2.0,2184,40.7474421,-73.9813221,10016,manhattan,murray hill,building,residential
condo,349980,3,1.0,2184,40.7187728,-73.811168,11432,queens,queens,amenity,other
contingent,339000,1,1.0,693,40.5475295,-74.1568654,10308,staten island,staten island,building,residential
house,649000,3,2.0,1257,40.6499215,-73.9453734,11203,brooklyn,kings county,building,residential
co-op,4695000,3,4.0,2600,40.7824395,-73.9561648,10128,manhattan,upper east side,building,residential
house,399888,3,4.0,1613,40.8865894,-73.8585038,10466,bronx,bronx county,building,residential
pending,1199900,4,4.0,2393,40.5477774,-74.160225,10308,staten island,richmond county,building,residential
house,2759000,6,6.0,2184,40.6093711,-73.9025693,11234,brooklyn,mill basin,building,residential
co-op,399000,1,1.0,2184,40.7282586,-73.8513251,11375,brooklyn,forest hills,building,residential
co-op,650000,2,1.0,1060,40.8511616,-73.9408472,10033,manhattan,washington heights,building,residential
house,2599000,4,3.0,3510,40.6063914,-73.9020181,11234,brooklyn,mill basin,building,residential
townhouse,1195000,4,2.0,2625,40.685396,-73.959061,11238,brooklyn,clinton hill,building,residential
house,1288000,3,2.0,1188,40.6229377,-74.0298947,11209,brooklyn,fort hamilton,building,residential
condo,2099000,2,2.0,1447,40.7019045,-73.9844236,11201,brooklyn,brooklyn,building,residential
multi-family home,1275000,5,3.0,1920,40.6512263,-74.0131317,11220,brooklyn,sunset park,building,residential
multi-family home,1999999,12,6.0,2184,40.7142948,-73.9448148,11211,brooklyn,williamsburg,building,residential
multi-family home,1279900,3,2.3738608579684373,3812,40.8062253,-73.9393116,10035,manhattan,new york county,building,residential
multi-family home,1680000,7,4.0,3780,40.785705,-73.778612,11360,queens,queens county,building,residential
co-op,299000,1,1.0,850,40.7313319,-73.8284665,11367,queens,queens,building,residential
co-op,415000,3,1.0,2184,40.7678195,-73.9594251,10035,manhattan,upper east side,amenity,other
townhouse,4395000,5,4.0,2184,40.6859683,-73.9839494,11217,brooklyn,kings county,building,residential
co-op,315000,1,1.0,2184,40.7507495,-73.8811907,11372,queens,queens,building,residential
house,699000,3,2.0,1700,40.545028,-74.218133,10309,staten island,richmond county,building,residential
condo,625000,4,2.0,1268,40.6634769,-73.936924,11203,brooklyn,brooklyn,building,residential
house,749000,3,2.0,2184,40.7602045,-73.8739584,11369,queens,queens county,building,residential
multi-family home,949000,4,2.0,1600,40.6452346,-73.9569371,11226,brooklyn,flatbush,building,residential
co-op,1495000,3,1.0,2184,40.670754,-73.981349,11215,brooklyn,brooklyn,building,residential
townhouse,2395000,6,4.0,3972,40.8351954,-73.9390016,10032,manhattan,washington heights,building,residential
house,1250000,3,4.0,3328,40.619844,-74.0889182,10301,staten island,richmond county,building,residential
multi-family home,3165000,9,5.0,2184,40.6813796,-73.9323311,11233,brooklyn,kings county,building,residential
co-op,205000,1,1.0,2184,40.8801731,-73.91173,10463,bronx,the bronx,building,residential
condo,1198000,1,2.0,2184,40.7749092,-73.9098235,11105,queens,queens,building,residential
house,2199000,3,3.0,3454,40.5782802,-73.9442713,11235,brooklyn,manhattan beach,building,residential
house,1449999,3,2.3738608579684373,1890,40.6783124,-73.928113,11233,brooklyn,kings county,building,residential
co-op,525000,3,1.0,322,40.7836703,-73.9709274,10024,manhattan,upper west side,building,residential
house,1299000,3,2.0,1700,40.622512,-74.038316,11209,brooklyn,fort hamilton,building,residential
co-op,269000,1,1.0,2184,40.7490728,-73.8859424,11372,queens,jackson heights,building,residential
multi-family home,899999,4,2.0,2194,40.6172199,-74.1320669,10314,staten island,richmond county,building,residential
house,925000,2,2.0,1077,40.6764806,-73.9446731,11216,brooklyn,kings county,building,residential
co-op,279000,1,1.0,600,40.6220567,-74.0200513,11228,brooklyn,bay ridge,building,residential
condo,1795000,2,2.0,2184,40.7954592,-73.9753123,10025,manhattan,upper west side,building,residential
condo,560000,3,1.0,622,40.6423834,-74.002033,11220,brooklyn,sunset park,building,residential
house,999000,3,2.0,1260,40.5792491,-73.8470867,11694,queens,queens county,building,residential
multi-family home,1188000,6,2.0,2186,40.7021006,-73.7671144,11412,queens,queens county,building,residential
house,948888,3,1.0,950,40.5786958,-73.938485,11235,brooklyn,manhattan beach,building,residential
condo,735000,2,2.0,832,40.6850765,-73.9107349,11207,brooklyn,brooklyn,building,residential
multi-family home,1399000,13,5.0,2184,40.6550656,-73.9183469,11212,brooklyn,brooklyn,building,residential
co-op,3600000,3,4.0,2184,40.7719126,-73.967281,10021,manhattan,upper east side,building,residential
multi-family home,1850000,8,4.0,5000,40.7981001,-73.9389098,10035,manhattan,new york county,building,residential
house,569000,3,1.0,2184,40.7079268,-73.7400399,11429,queens,queens county,building,residential
condo,399000,3,1.0,391,40.7668236,-73.9239725,11102,queens,astoria,building,residential
condo,618000,3,2.0,2184,40.5846429,-73.9407155,11235,brooklyn,manhattan beach,building,residential
co-op,149999,1,1.0,694,40.9049984,-73.9065719,10471,bronx,the bronx,building,residential
multi-family home,1990000,5,2.3738608579684373,2184,40.7398861,-73.8305343,11367,queens,queens county,building,residential
co-op,279000,1,1.0,2184,40.8809305,-73.9107494,10463,bronx,the bronx,building,residential
townhouse,2495000,3,2.3738608579684373,4125,40.7043492,-73.9310947,11237,brooklyn,bushwick,building,residential
townhouse,3695000,10,8.0,2184,40.7553475,-73.9673212,10022,manhattan,new york county,building,residential
condo,239500,1,1.0,864,40.6414367,-74.0802253,10301,staten island,staten island,building,residential
co-op,235000,1,1.0,850,40.8858375,-73.9088586,10463,bronx,riverdale,building,residential
house,680000,1,1.0,2184,40.7810446,-73.9519172,10128,manhattan,upper east side,amenity,other
house,629000,3,3.0,1280,40.6086959,-74.0859469,10304,staten island,richmond county,building,residential
house,2200000,3,2.3738608579684373,3760,40.5450461,-74.1858995,10312,staten island,richmond county,building,residential
house,380000,3,2.3738608579684373,600,40.6789407,-73.8712984,11208,brooklyn,east new york,building,residential
co-op,599000,2,2.0,2184,40.7230099,-73.84699,11375,brooklyn,forest hills,building,residential
townhouse,530000,3,2.0,1280,40.6155659,-74.0802854,10304,staten island,richmond county,building,residential
condo,1449000,4,2.0,1632,40.6990196,-73.9587153,11249,brooklyn,clinton hill,building,residential
co-op,459000,1,1.0,2184,40.677099,-73.9444709,11216,brooklyn,brooklyn,building,residential
pending,825000,5,2.0,2184,40.6033161,-74.1679729,10314,staten island,richmond county,building,residential
co-op,440000,2,1.0,2184,40.7499534,-73.8912443,11372,queens,jackson heights,building,residential
condo,7750000,3,4.0,2855,40.7868701,-73.9686086,10024,manhattan,new york county,building,residential
land,399900,3,2.3738608579684373,2184,40.5771876,-74.0829699,10305,staten island,richmond county,building,residential
multi-family home,1150000,4,3.0,2184,40.7569734,-73.8811062,11369,queens,jackson heights,building,residential
condo,2300000,1,2.0,1100,40.7761296,-73.960619,10075,manhattan,upper east side,building,residential
multi-family home,1900000,5,4.0,3640,40.8188422,-73.9456834,10030,manhattan,new york county,building,residential
multi-family home,2498000,6,6.0,3184,40.7644884,-73.7660572,11361,queens,bayside,building,residential
pending,995000,5,2.0,2128,40.6631136,-73.9544199,11225,brooklyn,kings county,building,residential
contingent,193999,3,1.0,435,40.5559755,-74.1387681,10306,staten island,staten island,building,residential
condo,500000,1,2.3738608579684373,2184,40.6586064,-73.9488175,11225,brooklyn,flatbush,building,residential
co-op,189900,1,1.0,600,40.5941381,-73.963948,11223,brooklyn,gravesend,building,residential
co-op,5500000,3,4.0,2184,40.7819874,-73.9578067,10128,manhattan,upper east side,building,residential
multi-family home,999000,5,4.0,1980,40.8232894,-73.8169443,10465,bronx,bronx county,building,residential
multi-family home,1260000,7,2.0,2000,40.6186892,-73.9952499,11204,brooklyn,kings county,building,residential
pending,225000,2,1.0,600,40.8375103,-73.9407123,10032,manhattan,washington heights,building,residential
co-op,229000,1,1.0,650,40.6308291,-74.0250165,11209,brooklyn,bay ridge,building,residential
multi-family home,1275000,6,5.0,2500,40.5423923,-74.1955899,10312,staten island,richmond county,building,residential
house,450000,4,3.0,2184,40.8904909,-73.8606171,10466,bronx,bronx county,building,residential
multi-family home,950000,3,2.0,2184,40.7689418,-73.8785452,11369,queens,jackson heights,building,residential
house,730000,4,3.0,1648,40.6987,-73.761794,11412,queens,queens county,building,residential
condo,830000,2,2.0,2184,40.7624173,-73.7710902,11361,queens,bayside,building,residential
house,829000,5,4.0,2184,40.6935674,-73.7855565,11433,queens,queens county,building,residential
house,888000,4,2.0,2184,40.7367436,-73.7039037,11001,queens,queens county,building,residential
multi-family home,1149000,6,3.0,2600,40.5781241,-73.8449946,11694,queens,queens county,building,residential
pending,648000,3,2.0,2112,40.5395578,-74.1795806,10312,staten island,richmond county,building,residential
condo,450000,2,1.0,1249,40.5894946,-73.7896353,11692,queens,queens,building,residential
multi-family home,3900000,6,3.0,2184,40.6632412,-73.7625294,11413,queens,queens county,building,residential
house,558000,3,2.0,1108,40.5463363,-74.1420026,10308,staten island,richmond county,building,residential
multi-family home,1695000,4,2.0,2184,40.6768411,-73.9867935,11215,brooklyn,kings county,building,residential
house,725000,5,2.3738608579684373,2184,40.6702491,-73.7454183,11413,queens,queens county,building,residential
co-op,940000,3,2.0,2184,40.7553599,-73.88722,11372,queens,jackson heights,amenity,other
condo,539000,2,2.0,821,40.6145816,-73.9463149,11229,brooklyn,midwood,building,residential
pending,895000,2,2.0,1111,40.7696861,-73.9557104,10021,manhattan,upper east side,amenity,other
condo,2550000,3,2.0,2400,40.6763366,-74.0001966,11231,brooklyn,brooklyn,building,residential
house,879000,4,2.0,2240,40.5708089,-74.1179169,10306,staten island,richmond county,building,residential
house,939999,3,2.0,3096,40.7146332,-73.7305803,11429,queens,queens county,building,residential
co-op,500000,3,2.0,1200,40.7329909,-73.8586242,11374,queens,queens county,building,residential
house,1288000,3,4.0,2184,40.7701118,-73.8892017,11370,queens,queens county,building,residential
townhouse,1238000,3,2.0,1500,40.7367847,-73.8477757,11375,queens,queens county,building,residential
co-op,370000,2,1.0,800,40.6033288,-74.0160805,11228,brooklyn,brooklyn,building,residential
condo,595000,1,1.0,574,40.8080535,-73.9426066,10027,manhattan,harlem,building,residential
condo,2799000,3,3.0,2350,40.6676042,-73.9931265,11215,brooklyn,kings county,building,residential
co-op,289000,1,1.0,520,40.6339937,-74.0363466,11209,brooklyn,bay ridge,building,residential
pending,669000,3,1.0,1080,40.7696159,-73.7403605,11363,queens,queens county,building,residential
co-op,2095000,4,4.0,2184,40.7579677,-73.9636757,10022,manhattan,midtown east,amenity,other
house,699000,3,2.0,1538,40.6059609,-74.1644799,10314,staten island,richmond county,building,residential
condo,340000,1,1.0,850,40.5777691,-73.9719866,11224,brooklyn,brighton beach,building,residential
co-op,199999,1,1.0,550,40.6079619,-73.9549426,11229,brooklyn,sheepshead bay,building,residential
house,888888,4,3.0,2088,40.5469948,-74.1413764,10308,staten island,richmond county,building,residential
house,1690000,3,2.0,1536,40.6042182,-73.946797,11229,brooklyn,sheepshead bay,building,residential
house,1449000,3,4.0,3600,40.613153,-74.1076394,10301,staten island,richmond county,building,residential
house,628000,3,2.0,960,40.5883038,-74.0928759,10305,staten island,richmond county,building,residential
condo,593000,2,2.0,1312,40.6151849,-74.0646359,10305,staten island,staten island,building,residential
house,634900,2,2.0,2184,40.7123648,-73.7530514,11429,queens,queens county,building,residential
condo,499900,2,2.0,960,40.5741868,-74.0960192,10306,staten island,richmond county,building,residential
house,1950000,3,2.0,2184,40.721482,-73.7883218,11432,queens,queens county,building,residential
co-op,379000,2,1.0,2184,40.7286188,-73.8616623,11374,queens,queens,building,residential
co-op,299000,1,1.0,800,40.7365158,-73.8687964,11373,queens,elmhurst,building,residential
multi-family home,850000,6,3.0,2230,40.8760983,-73.9021193,10463,bronx,bronx county,building,residential
pending,199999,9,3.0,2184,40.666792,-73.894205,11207,brooklyn,kings county,building,residential
multi-family home,899000,4,3.0,1892,40.6344613,-73.9042326,11236,brooklyn,canarsie,building,residential
multi-family home,1299000,10,6.0,4500,40.6378136,-74.0266176,11220,brooklyn,bay ridge,building,residential
house,699000,3,3.0,2184,40.8163884,-73.8461253,10473,bronx,bronx county,building,residential
condo,579000,2,2.0,750,40.75467,-73.821996,11355,queens,flushing,building,residential
house,585000,3,2.0,1008,40.6302304,-74.142966,10302,staten island,richmond county,building,residential
multi-family home,499000,3,3.0,2184,40.6370243,-73.909613,11236,brooklyn,kings county,building,residential
contingent,350000,3,2.0,1137,40.579062,-74.1076165,10306,staten island,staten island,building,residential
house,1250000,3,2.0,2072,40.6321382,-74.0806123,10304,staten island,richmond county,building,residential
multi-family home,899000,4,3.0,2184,40.7431111,-73.8574241,11368,queens,corona,building,residential
townhouse,1979000,5,2.3738608579684373,3150,40.6908422,-73.9117096,11221,brooklyn,bushwick,building,residential
house,599000,3,2.0,780,40.5880538,-74.0858781,10305,staten island,richmond county,building,residential
multi-family home,1250000,6,4.0,2184,40.6800398,-73.8914993,11207,brooklyn,kings county,building,residential
multi-family home,1399000,4,3.0,2283,40.7580197,-73.9140215,11103,queens,queens county,building,residential
co-op,335000,1,1.0,2184,40.7547282,-73.8859706,11372,queens,jackson heights,building,residential
co-op,418000,2,1.0,2184,40.7155199,-73.8530199,11375,brooklyn,forest hills,building,residential
multi-family home,1780000,10,7.0,2184,40.7429826,-73.8945462,11377,queens,jackson heights,building,residential
house,599900,3,2.0,1248,40.5922258,-74.1508322,10314,staten island,richmond county,building,residential
multi-family home,885000,6,5.0,2680,40.8236783,-73.8705222,10473,bronx,bronx county,building,residential
co-op,258000,1,1.0,650,40.5759986,-73.960785,11235,brooklyn,brooklyn,building,residential
house,999000,4,3.0,2184,40.7492036,-73.7045081,11004,queens,queens county,building,residential
contingent,898000,3,1.0,2744,40.5789553,-74.1138794,10306,staten island,richmond county,building,residential
house,695000,3,2.0,1926,40.6713641,-73.8673475,11208,brooklyn,east new york,building,residential
house,759000,3,1.0,2184,40.7142473,-73.8830471,11379,queens,queens county,building,residential
pending,2100000,3,2.0,1902,40.7118832,-73.947991,11211,brooklyn,williamsburg,building,residential
co-op,389888,1,1.0,730,40.7479556,-73.8929488,11372,queens,jackson heights,building,residential
co-op,285000,1,1.0,900,40.5811062,-73.966749,11235,brooklyn,brooklyn,building,residential
house,759000,3,2.0,1260,40.6184347,-73.9113421,11234,brooklyn,kings county,building,residential
condo,995000,2,2.0,1030,40.6655513,-73.9922171,11215,brooklyn,brooklyn,building,residential
co-op,229000,1,1.0,2184,40.5874249,-73.9487987,11235,brooklyn,sheepshead bay,building,residential
house,1100000,5,3.0,2192,40.6500222,-73.844778,11414,queens,queens county,building,residential
co-op,225000,1,1.0,2184,40.7753572,-73.9085482,11105,queens,queens,building,residential
house,868000,3,2.0,1484,40.5802397,-74.1018122,10306,staten island,richmond county,building,residential
multi-family home,1380000,5,3.0,2184,40.7600366,-73.8692081,11369,queens,queens county,building,residential
co-op,865000,1,1.0,2184,40.743373,-73.983626,10016,manhattan,midtown east,building,residential
pending,1895000,3,2.0,1230,40.7032131,-73.9845345,11251,brooklyn,brooklyn,building,residential
house,749000,3,2.0,1800,40.6105648,-74.1237991,10314,staten island,richmond county,building,residential
multi-family home,775000,5,2.0,1600,40.8166622,-73.8139448,10465,bronx,throgs neck,building,residential
co-op,2395000,2,2.0,1650,40.7588081,-73.9647057,10022,manhattan,new york county,building,residential
multi-family home,2300000,8,6.0,4000,40.608367,-74.0112145,11228,brooklyn,kings county,building,residential
condo,450000,3,1.0,494,40.646643,-74.011966,11220,brooklyn,sunset park,building,residential
pending,560000,2,1.0,2184,40.7121147,-73.9626871,11211,brooklyn,williamsburg,building,residential
co-op,198000,1,1.0,2184,40.720847,-73.858929,11374,queens,queens,building,residential
house,1099000,3,2.0,1092,40.6038744,-74.0739123,10305,staten island,richmond county,building,residential
multi-family home,1880000,5,2.0,1850,40.6184547,-73.9949244,11204,brooklyn,bensonhurst,building,residential
house,509000,3,1.0,1100,40.8181427,-73.8105454,10465,bronx,throgs neck,building,residential
condo,499000,1,1.0,845,40.611469,-73.954103,11230,brooklyn,midwood,building,residential
co-op,204888,3,1.0,2184,40.7284499,-73.8492399,11375,brooklyn,forest hills,building,residential
multi-family home,1499000,8,3.0,3300,40.8998618,-73.852221,10470,bronx,bronx county,building,residential
house,1295000,8,3.0,3050,40.578698,-73.9551566,11235,brooklyn,kings county,building,residential
multi-family home,760000,4,2.0,1490,40.6100159,-74.0754726,10305,staten island,richmond county,building,residential
house,988000,4,3.0,1552,40.7264779,-73.8093514,11366,queens,queens county,building,residential
multi-family home,949000,5,4.0,2184,40.6651608,-73.8881575,11207,brooklyn,kings county,building,residential
condo,420000,2,1.0,840,40.5945609,-74.1596635,10314,staten island,staten island,building,residential
pending,1380000,6,4.0,2184,40.7416665,-73.8173924,11355,queens,queens county,building,residential
co-op,268000,1,1.0,850,40.7741978,-73.8256676,11354,queens,flushing,building,residential
house,849000,3,2.0,2184,40.7398873,-73.8506134,11368,queens,corona,building,residential
multi-family home,1095000,3,2.0,2184,40.757489,-73.9116062,11103,queens,queens county,building,residential
multi-family home,720000,3,2.0,2184,40.6899814,-73.8185297,11419,queens,queens county,building,residential
multi-family home,1900000,3,2.3738608579684373,3500,40.8462523,-73.8671523,10462,bronx,bronx county,building,residential
house,729999,3,2.0,1056,40.6762428,-73.7945184,11436,queens,queens county,building,residential
house,848000,3,3.0,1080,40.6180243,-73.9971092,11204,brooklyn,bensonhurst,building,residential
co-op,213000,3,1.0,430,40.6339914,-73.9689071,11230,brooklyn,brooklyn,building,residential
multi-family home,795000,3,2.0,1725,40.6781645,-73.9185084,11233,brooklyn,kings county,building,residential
condo,1350000,2,1.0,2184,40.6799762,-73.9787904,11217,brooklyn,kings county,building,residential
multi-family home,1699000,5,5.0,2184,40.7691484,-73.9073703,11105,queens,queens county,building,residential
house,1650000,3,4.0,2272,40.5799535,-73.9383472,11235,brooklyn,sheepshead bay,building,residential
house,699000,3,2.3738608579684373,2184,40.64539,-73.8897652,11236,brooklyn,canarsie,building,residential
co-op,1150000,1,1.0,984,40.6946221,-73.9969945,11201,brooklyn,brooklyn,building,residential
house,2399000,5,5.0,2184,40.6115517,-73.9061979,11234,brooklyn,mill basin,building,residential
multi-family home,989000,8,5.0,3252,40.8850441,-73.8562999,10466,bronx,bronx county,building,residential
co-op,318888,1,1.0,875,40.736926,-73.8577614,11368,queens,corona,amenity,other
co-op,398000,2,1.0,900,40.6337679,-74.0305471,11209,brooklyn,bay ridge,building,residential
house,1190000,3,2.0,1088,40.5787747,-73.9401956,11235,brooklyn,manhattan beach,building,residential
townhouse,795000,5,2.0,2184,40.6678086,-73.8739629,11208,brooklyn,east new york,building,residential
condo,899999,3,3.0,1750,40.7654814,-73.8178731,11362,queens,flushing,amenity,other
condo,1325000,3,2.0,1597,40.6163434,-74.0377889,11209,brooklyn,fort hamilton,building,residential
townhouse,595000,1,2.0,846,40.6749628,-73.9401841,11213,brooklyn,brooklyn,building,residential
condo,330000,1,1.0,726,40.6299335,-74.0999243,10301,staten island,staten island,building,residential
co-op,425000,2,1.0,2184,40.699914,-73.936622,11206,brooklyn,bushwick,amenity,other
co-op,345000,2,1.0,1000,40.8819273,-73.9172822,10463,bronx,the bronx,building,residential
condo,999000,2,2.0,1187,40.7560001,-73.8293002,11355,queens,flushing,building,residential
house,450000,3,2.3738608579684373,2184,40.681047,-73.754428,11413,queens,queens county,building,residential
condo,261250,2,1.0,857,40.8245968,-73.8898403,10459,bronx,the bronx,building,residential
condo,728000,3,2.0,1450,40.7436792,-73.8983202,11377,queens,jackson heights,building,residential
pending,199000,3,2.0,1100,40.8344217,-73.914718,10456,bronx,the bronx,building,residential
multi-family home,3200000,3,2.3738608579684373,3735,40.8093495,-73.9398627,10035,manhattan,harlem,building,residential
condo,1950000,3,3.0,1300,40.7770634,-73.9522998,10028,manhattan,upper east side,building,residential
co-op,600000,2,2.0,900,40.8535911,-73.9359601,10033,manhattan,washington heights,building,residential
condo,569000,1,1.0,739,40.604365,-73.9757485,11223,brooklyn,gravesend,building,residential
house,2488000,4,2.3738608579684373,3850,40.5762337,-73.9511136,11235,brooklyn,manhattan beach,building,residential
multi-family home,1138000,5,3.0,1026,40.6240315,-73.9954118,11219,brooklyn,borough park,building,residential
multi-family home,1359000,11,6.0,2240,40.6941915,-73.913053,11221,brooklyn,bushwick,building,residential
multi-family home,3720000,8,8.0,5500,40.7158959,-73.989796,10002,manhattan,new york county,building,residential
multi-family home,974998,7,2.0,2184,40.675444,-73.8823121,11208,brooklyn,kings county,building,residential
co-op,300000,3,1.0,600,40.6372695,-73.9712947,11218,brooklyn,brooklyn,building,residential
house,729000,3,3.0,2184,40.7052223,-73.7583006,11412,queens,queens county,building,residential
house,599000,3,2.0,1120,40.5863749,-74.1470603,10314,staten island,richmond county,building,residential
co-op,825000,1,2.0,1100,40.7766673,-73.9439269,10128,manhattan,upper east side,building,residential
house,800000,3,2.3738608579684373,2184,40.6899365,-73.9294828,11221,brooklyn,kings county,building,residential
townhouse,868000,2,2.0,1152,40.7259203,-73.8814296,11379,queens,queens county,building,residential
condo,3995000,3,3.0,1637,40.7435613,-74.0063336,10011,manhattan,chelsea,building,residential
house,625000,4,2.0,2184,40.6283989,-73.9334448,11234,brooklyn,flatlands,building,residential
house,520000,3,2.3738608579684373,1705,40.8536129,-73.8933593,10457,bronx,bronx county,building,residential
multi-family home,749900,5,2.0,1400,40.6754664,-73.8780744,11208,brooklyn,east new york,building,residential
multi-family home,888000,5,3.0,2980,40.6484284,-73.9166783,11236,brooklyn,kings county,building,residential
house,725000,2,2.0,988,40.5821761,-74.1078688,10306,staten island,richmond county,building,residential
condop,1065000,2,2.0,2184,40.7850141,-73.9481639,10029,manhattan,manhattan,amenity,other
condo,744000,2,1.0,890,40.7592629,-73.9257407,11106,queens,astoria,building,residential
pending,4500000,1,2.3738608579684373,5400,40.7248276,-73.9446616,11222,brooklyn,kings county,building,residential
multi-family home,3250000,6,4.0,3059,40.6877385,-73.9618932,11238,brooklyn,clinton hill,building,residential
multi-family home,769000,7,2.0,2100,40.6219621,-74.0832854,10304,staten island,richmond county,building,residential
house,648998,3,2.0,1296,40.8611669,-73.8467192,10469,bronx,bronx county,building,residential
house,1699900,7,5.0,2418,40.6898884,-73.9085265,11207,brooklyn,bushwick,building,residential
pending,3250000,8,5.0,2184,40.6467032,-73.9685896,11218,brooklyn,kings county,building,residential
co-op,395250,1,1.0,650,40.7642499,-73.92761,11106,queens,astoria,building,residential
house,539000,3,2.0,972,40.6104417,-74.0628522,10305,staten island,richmond county,building,residential
townhouse,1348000,5,2.0,2184,40.7462947,-73.8595834,11368,queens,corona,building,residential
condo,1450000,3,3.0,1855,40.7573108,-73.8341865,11354,queens,queens,building,residential
co-op,465000,2,1.0,2184,40.7483992,-73.8795703,11372,queens,jackson heights,building,residential
co-op,297000,1,1.0,800,40.7322799,-73.85181,11375,queens,queens,building,residential
co-op,244900,1,1.0,518,40.7511183,-73.7160095,11004,queens,queens,building,residential
house,2480000,4,4.0,5150,40.7932103,-73.8161976,11357,queens,queens county,building,residential
co-op,230000,1,1.0,2184,40.736005,-73.849174,11375,queens,queens,building,residential
condo,780000,2,2.0,825,40.6288601,-73.9704912,11230,brooklyn,kings county,building,residential
townhouse,4875000,3,3.0,2184,40.748964,-73.978301,10016,manhattan,new york county,building,residential
co-op,539999,3,2.0,2184,40.7563263,-73.8752379,11372,queens,jackson heights,amenity,other
