LATITUDE,LONGITUDE,ADDRESS,ZIPCODE,SUBLOCALITY,TYPE,BEDS,BATH,PROPERTYSQFT,PRICE,BROKERTITLE,HOUSE_UNIT_LATLON_KEY,BOROUGH
40.7531191,-73.8818757,34-41 85th Street #1B,11372,Forest Hills,condo,3,1.0,2184.21,259000,Compass,34|1b|40.7531191|-73.8818757,Queens
40.7438639,-73.8745722,91-15 Lamont Avenue #6D,11373,Elmhurst,condo,2,2.0,2184.21,430000,Jamie & Connie Real Estate Grp,91|6d|40.7438639|-73.8745722,Queens
40.7382981,-74.0058899,61 Jane Street #6N,10014,West Village,condo,3,1.0,2184.21,895000,Corcoran Chelsea/Flatiron,61|6n|40.7382981|-74.0058899,Manhattan
40.5406209,-74.1671632,4654 Amboy Road #2B,10312,Huguenot,condo,2,2.0,1000.0,549000,Awaye Realty,4654|2b|40.5406209|-74.1671632,Staten Island
40.7607676,-73.9056672,28-31 Hobart Street,11377,Flushing,house,3,2.0,1734.0,975000,Realty Executives Today,28||40.7607676|-73.9056672,Queens
40.6181029,-74.0369047,9430 Ridge Boulevard #6D,11209,Fort Hamilton,condo,3,1.0,325.0,199000,Dorsa Group Realty,9430|6d|40.6181029|-74.0369047,
40.9073699,-73.9065578,5800 Arlington Avenue Apt 21S,10471,Eastchester,condo,1,1.0,700.0,350000,Coldwell Banker Realty,5800||40.9073699|-73.9065578,Bronx
40.7324713,-73.8670804,92-29 Queens Boulevard #3H,11374,Elmhurst,condo,2,2.0,974.0,599000,Keller Williams Rlty Landmark,92|3h|40.7324713|-73.8670804,Queens
40.6207403,-74.1114362,27 Clove Way,10301,St. George,house,3,2.0,1260.0,639999,Radiant Estates Llc,27||40.6207403|-74.1114362,Staten Island
40.7202429,-73.8430513,10724 71st Road #9F,11375,Fresh Meadows,condo,2,2.0,1244.0,1300000,"Apaus, Inc",10724|9f|40.7202429|-73.8430513,Queens
40.8343936,-73.8221101,1038 Throgs Neck Expy,10465,Throgs Neck,house,6,3.0,2837.0,1100000,Keller Williams Ny Realty,1038||40.8343936|-73.8221101,Bronx
40.5902064,-74.0958034,165 Cromwell Avenue #2B,10304,South Beach,condo,1,1.0,651.0,349900,Martino Realty Group,165|2b|40.5902064|-74.0958034,Staten Island
40.5039785,-74.2396555,280 Loretto Street,10307,Tottenville,house,2,2.0,1330.0,750000,Elizabeth Marra,280||40.5039785|-74.2396555,Staten Island
40.710749,-73.809486,149-07 85th Road,11435,Jamaica,house,6,4.0,2200.0,1690000,Century 21 Milestone Realty,149||40.710749|-73.809486,Queens
40.7505078,-73.8851355,35-45 81st Street E1,11372,Jackson Heights,house,1,1.0,2184.21,325000,"Nest Seekers International, Long Island",35||40.7505078|-73.8851355,Queens
40.602654,-73.9869399,2361 81st Street,11214,Bensonhurst,house,12,2.37,5670.0,2250000,Century 21 Realty First,2361||40.602654|-73.9869399,Brooklyn
40.7557689,-73.8734231,33-24 Junction Boulevard,11372,Forest Hills,house,1,1.0,2184.21,230000,Du Chris Realty,33||40.7557689|-73.8734231,Queens
40.6155667,-74.0869554,310 Hillside Avenue #312,10304,Mariner's Harbor,condo,10,6.0,3156.0,1299888,Ashford Homes,310|312|40.6155667|-74.0869554,Staten Island
40.8242389,-73.8173809,543 Hollywood Avenue,10465,Pelham Bay,house,5,2.0,2750.0,925000,Nobroker,543||40.8242389|-73.8173809,Bronx
40.6210398,-74.1504313,47 Lynn Ct,10314,Graniteville,house,1,2.0,794.0,329000,Get Listed Get Sold Nyc,47||40.6210398|-74.1504313,Staten Island
40.6274381,-74.1581613,366 Union Avenue #4,10303,Stapleton,condo,10,8.0,5040.0,1300000,Rjm Realty Empire Inc.,366|4|40.6274381|-74.1581613,Staten Island
40.6615475,-73.898309,544 Hinsdale Street,11207,East New York,house,5,4.0,2080.0,848000,Re Max Edge,544||40.6615475|-73.898309,Brooklyn
40.6179165,-73.9546305,1801 Ocean Avenue #4A,11230,Midwood,condo,1,1.0,750.0,279000,H P Greenfield Real Estate Ltd,1801|4a|40.6179165|-73.9546305,Brooklyn
40.6275896,-74.0016198,1238 63rd Street #432,11219,Borough Park,condo,1,1.0,602.0,528000,Ashford Homes Llc,1238|432|40.6275896|-74.0016198,
40.7528774,-73.8211834,44-55 Kissena Boulevard #5F,11355,Flushing,condo,1,1.0,2184.21,275000,E Realty International Corp,44|5f|40.7528774|-73.8211834,Queens
40.711969,-73.9649468,338 Berry Street #4E,11249,Williamsburg,condo,1,1.0,815.0,1165000,Corcoran Park Slope,338|4e|40.711969|-73.9649468,
40.5159256,-74.2361135,10 Simon Ct,10307,Tottenville,house,6,5.0,3290.0,1199000,Staten Island Homes Realty Corp,10||40.5159256|-74.2361135,Staten Island
40.852813,-73.9176871,229 W Tremont Avenue,10453,Morrisania,house,6,2.0,3053.0,700000,Exp Realty,229||40.852813|-73.9176871,Bronx
40.614446,-73.9795824,2226 63rd Street,11204,Borough Park,house,8,4.0,3200.0,2150000,Century 21 Realty First,2226||40.614446|-73.9795824,Brooklyn
40.688312,-73.856322,86-05 91st Avenue,11421,Jamaica,house,7,5.0,2460.0,1280000,E Realty International Corp,86||40.688312|-73.856322,Queens
